objectid,type,format,display_template:,filename,title,date,item_information,description,subject,creator,original-identifier,rights,recipient
flickr_test_set_278,Photograph,image/jpeg,image,061705 (87)_20282056_o.jpg,061705 (87),2005-15-6,Sun Jun 19 14:37:37 GMT-0400 2005,(no description) Photo taken on: Wed Jun 15 17:21:44 GMT-0400 2005,color;photo;June2005;EastAlstead;NH;03602;orchardhill;farm;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/20282056/,Creative Commons (http://creativecommons.org/licenses),2
flickr_test_set_279,Photograph,image/jpeg,image,061705 (88)_20276528_o.jpg,061705 (88),2005-15-6,Sun Jun 19 14:06:27 GMT-0400 2005,(no description) Photo taken on: Wed Jun 15 17:23:31 GMT-0400 2005,color;photo;June2005;EastAlstead;NH;03602;orchardhill;farm;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/20276528/,Creative Commons (http://creativecommons.org/licenses),2
flickr_test_set_280,Photograph,image/jpeg,image,061705 (88)_20282089_o.jpg,061705 (88),2005-15-6,Sun Jun 19 14:37:44 GMT-0400 2005,(no description) Photo taken on: Wed Jun 15 17:23:31 GMT-0400 2005,color;photo;June2005;EastAlstead;NH;03602;orchardhill;farm;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/20282089/,Creative Commons (http://creativecommons.org/licenses),3
flickr_test_set_281,Photograph,image/jpeg,image,061705 (9)_20276684_o.jpg,061705 (9),2005-14-6,Sun Jun 19 14:07:13 GMT-0400 2005,(no description) Photo taken on: Tue Jun 14 17:51:18 GMT-0400 2005,color;photo;June2005;EastAlstead;NH;03602;orchardhill;farm;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/20276684/,Creative Commons (http://creativecommons.org/licenses),1
flickr_test_set_282,Photograph,image/jpeg,image,062606_13301jpg_176433754_o.jpg,062606_13301.jpg,2006-26-6,Tue Jun 27 14:15:36 GMT-0400 2006,Ezra smile Photo taken on: Mon Jun 26 17:30:54 GMT-0400 2006,phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/176433754/,Creative Commons (http://creativecommons.org/licenses),0
flickr_test_set_283,Photograph,image/jpeg,image,06poorHannah_2409789_o.jpg,06poorHannah,2003-15-8,Tue Dec 21 13:25:54 GMT-0500 2004,2003 hannah in a cart; cruelty to the cat Photo taken on: Fri Aug 15 22:27:55 GMT-0400 2003,color;photo;summer2003;fall2003;ezra;1yrBday;doggies;friends;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/2409789/,Creative Commons (http://creativecommons.org/licenses),6
flickr_test_set_284,Photograph,image/jpeg,image,07heMen_2409791_o.jpg,07heMen,2003-1-9,Tue Dec 21 13:25:58 GMT-0500 2004,(no description) Photo taken on: Mon Sep 1 10:50:43 GMT-0400 2003,color;photo;summer2003;fall2003;ezra;1yrBday;doggies;friends;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/2409791/,Creative Commons (http://creativecommons.org/licenses),3
flickr_test_set_285,Photograph,image/jpeg,image,080906_leo_459289701_o.jpg,080906_leo,2006-9-8,Sat Apr 14 21:42:51 GMT-0400 2007,(no description) Photo taken on: Wed Aug 9 14:15:37 GMT-0400 2006,color;photo;phone;phonecam,sweet lil' bunny,https://www.flickr.com/photos/ezra/459289701/,Creative Commons (http://creativecommons.org/licenses),0
flickr_test_set_286,Photograph,image/jpeg,image,081407_15521jpg_1128454854_o.jpg,081407_15521.jpg,2007-14-8,Wed Aug 15 12:38:36 GMT-0400 2007,(no description) Photo taken on: Tue Aug 14 19:52:16 GMT-0400 2007,(no;tags),sweet lil' bunny,https://www.flickr.com/photos/ezra/1128454854/,Creative Commons (http://creativecommons.org/licenses),2
flickr_test_set_287,Photograph,image/jpeg,image,08hiImCute_2409794_o.jpg,08hiImCute,2003-1-9,Tue Dec 21 13:26:02 GMT-0500 2004,(no description) Photo taken on: Mon Sep 1 10:51:14 GMT-0400 2003,color;photo;summer2003;fall2003;ezra;1yrBday;doggies;friends;unprocessed,sweet lil' bunny,https://www.flickr.com/photos/ezra/2409794/,Creative Commons (http://creativecommons.org/licenses),3
